Testing
Layout,mediumMaze,function,"bfs,prob=PositionSearchProblem"
Layout,contoursMaze2,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,12
Time Taken,0.0020220279693603516
Nodes Expanded,44
Average Score,498.0
Win Rate,1.0
Layout,contoursMaze2,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,12
Time Taken,0.005959510803222656
Nodes Expanded,36
Average Score,498.0
Win Rate,1.0
Layout,contoursMaze3,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,11
Time Taken,0.00499272346496582
Nodes Expanded,153
Average Score,499.0
Win Rate,1.0
Layout,contoursMaze3,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,69
Time Taken,0.003988981246948242
Nodes Expanded,69
Average Score,441.0
Win Rate,1.0
Layout,contoursMaze3,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,11
Time Taken,0.008044242858886719
Nodes Expanded,153
Average Score,499.0
Win Rate,1.0
Layout,contoursMaze3,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,11
Time Taken,0.0009281635284423828
Nodes Expanded,39
Average Score,499.0
Win Rate,1.0
Layout,contoursMaze3,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,11
Time Taken,0.0059888362884521484
Nodes Expanded,31
Average Score,499.0
Win Rate,1.0
Layout,tinyCorners,function,"astar,prob=CornersProblem,heuristic=cornersHeuristic"
Path Cost,28
Time Taken,0.0039365291595458984
Nodes Expanded,199
Average Score,512.0
Win Rate,1.0
Layout,tinyCorners,function,"bi,prob=CornersProblem,heuristic=cornersHeuristic"
Path Cost,35
Time Taken,0.00404810905456543
Nodes Expanded,275
Average Score,507.0
Win Rate,1.0
Layout,mediumCorners,function,"astar,prob=CornersProblem,heuristic=cornersHeuristic"
Path Cost,106
Time Taken,0.07496809959411621
Nodes Expanded,1136
Average Score,434.0
Win Rate,1.0
Layout,mediumCorners,function,"bi,prob=CornersProblem,heuristic=cornersHeuristic"
Path Cost,108
Time Taken,0.026033878326416016
Nodes Expanded,1115
Average Score,434.0
Win Rate,1.0
Layout,bigCorners,function,"astar,prob=CornersProblem,heuristic=cornersHeuristic"
Path Cost,162
Time Taken,0.9939777851104736
Nodes Expanded,4380
Average Score,378.0
Win Rate,1.0
Layout,bigCorners,function,"bi,prob=CornersProblem,heuristic=cornersHeuristic"
Path Cost,164
Time Taken,0.09966683387756348
Nodes Expanded,3708
Average Score,378.0
Win Rate,1.0
Path Cost,210
Time Taken,0.01693439483642578
Nodes Expanded,606
Path Cost,210
Time Taken,0.017186880111694336
Nodes Expanded,606
Average Score,300.0
Win Rate,1.0
Path Cost,210
Time Taken,0.02326679229736328
Nodes Expanded,549
Path Cost,210
Time Taken,0.019587278366088867
Nodes Expanded,620
Path Cost,210
Time Taken,0.011887550354003906
Nodes Expanded,390
Path Cost,210
Time Taken,0.04429054260253906
Nodes Expanded,549
Path Cost,210
Time Taken,0.015007495880126953
Nodes Expanded,606
Path Cost,4
Time Taken,0.013036012649536133
Nodes Expanded,4
Path Cost,150
Time Taken,0.08865928649902344
Nodes Expanded,459
Average Score,360.0
Win Rate,1.0
Path Cost,150
Time Taken,0.09253382682800293
Nodes Expanded,476
Path Cost,150
Time Taken,0.6005983352661133
Nodes Expanded,637
